# G(2) Function
# 2025-11-20 17:23:44
# Histogram Width = 10 ns
# Events Ch. 0 = 2.178e+07 
# Events Ch. 1 = 2.286e+07 
# Integr. Time = 46.9 s
# G(2) Norm = 106.2 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-6.4907136E-009 ;  1.1398020E+000
-6.4809384E-009 ;  9.9850400E-001
-6.4711632E-009 ;  9.7966500E-001
-6.4613881E-009 ;  8.5720600E-001
-6.4516129E-009 ;  1.0456040E+000
-6.4418377E-009 ;  1.2528400E+000
-6.4320626E-009 ;  9.3256500E-001
-6.4222874E-009 ;  9.2314500E-001
-6.4125122E-009 ;  1.0927030E+000
-6.4027370E-009 ;  1.0644430E+000
-6.3929619E-009 ;  9.8908400E-001
-6.3831867E-009 ;  9.7024500E-001
-6.3734115E-009 ;  9.0430600E-001
-6.3636364E-009 ;  1.0738630E+000
-6.3538612E-009 ;  1.1680620E+000
-6.3440860E-009 ;  1.0079240E+000
-6.3343109E-009 ;  1.0456040E+000
-6.3245357E-009 ;  1.0644430E+000
-6.3147605E-009 ;  1.0550230E+000
-6.3049853E-009 ;  1.1398020E+000
-6.2952102E-009 ;  9.0430600E-001
-6.2854350E-009 ;  1.0550230E+000
-6.2756598E-009 ;  1.0738630E+000
-6.2658847E-009 ;  1.1303820E+000
-6.2561095E-009 ;  1.0079240E+000
-6.2463343E-009 ;  9.7024500E-001
-6.2365591E-009 ;  1.1586420E+000
-6.2267840E-009 ;  8.3836700E-001
-6.2170088E-009 ;  9.1372600E-001
-6.2072336E-009 ;  9.4198500E-001
-6.1974585E-009 ;  8.1952700E-001
-6.1876833E-009 ;  1.0267640E+000
-6.1779081E-009 ;  1.0644430E+000
-6.1681329E-009 ;  9.7966500E-001
-6.1583578E-009 ;  1.1115420E+000
-6.1485826E-009 ;  1.0738630E+000
-6.1388074E-009 ;  1.1492220E+000
-6.1290323E-009 ;  1.1492220E+000
-6.1192571E-009 ;  1.0361840E+000
-6.1094819E-009 ;  1.0550230E+000
-6.0997067E-009 ;  9.8908400E-001
-6.0899316E-009 ;  8.9488600E-001
-6.0801564E-009 ;  1.0173440E+000
-6.0703812E-009 ;  9.6082500E-001
-6.0606061E-009 ;  1.0361840E+000
-6.0508309E-009 ;  1.0832830E+000
-6.0410557E-009 ;  1.2151610E+000
-6.0312805E-009 ;  1.1303820E+000
-6.0215054E-009 ;  1.0079240E+000
-6.0117302E-009 ;  1.0173440E+000
-6.0019550E-009 ;  9.7966500E-001
-5.9921799E-009 ;  9.7024500E-001
-5.9824047E-009 ;  9.7966500E-001
-5.9726295E-009 ;  1.0361840E+000
-5.9628543E-009 ;  9.8908400E-001
-5.9530792E-009 ;  1.0738630E+000
-5.9433040E-009 ;  1.0173440E+000
-5.9335288E-009 ;  1.0927030E+000
-5.9237537E-009 ;  8.9488600E-001
-5.9139785E-009 ;  1.1303820E+000
-5.9042033E-009 ;  9.5140500E-001
-5.8944282E-009 ;  9.3256500E-001
-5.8846530E-009 ;  1.1774810E+000
-5.8748778E-009 ;  1.0079240E+000
-5.8651026E-009 ;  9.5140500E-001
-5.8553275E-009 ;  1.2434200E+000
-5.8455523E-009 ;  9.7966500E-001
-5.8357771E-009 ;  1.0361840E+000
-5.8260020E-009 ;  9.1372600E-001
-5.8162268E-009 ;  9.5140500E-001
-5.8064516E-009 ;  1.1303820E+000
-5.7966764E-009 ;  1.1586420E+000
-5.7869013E-009 ;  1.0361840E+000
-5.7771261E-009 ;  1.0079240E+000
-5.7673509E-009 ;  8.6662600E-001
-5.7575758E-009 ;  1.1209620E+000
-5.7478006E-009 ;  9.2314500E-001
-5.7380254E-009 ;  1.0738630E+000
-5.7282502E-009 ;  1.0832830E+000
-5.7184751E-009 ;  9.9850400E-001
-5.7086999E-009 ;  1.1209620E+000
-5.6989247E-009 ;  9.9850400E-001
-5.6891496E-009 ;  1.0079240E+000
-5.6793744E-009 ;  9.4198500E-001
-5.6695992E-009 ;  1.0456040E+000
-5.6598240E-009 ;  1.0927030E+000
-5.6500489E-009 ;  9.3256500E-001
-5.6402737E-009 ;  9.0430600E-001
-5.6304985E-009 ;  1.0927030E+000
-5.6207234E-009 ;  9.6082500E-001
-5.6109482E-009 ;  1.0361840E+000
-5.6011730E-009 ;  9.9850400E-001
-5.5913978E-009 ;  1.1963210E+000
-5.5816227E-009 ;  1.1303820E+000
-5.5718475E-009 ;  9.9850400E-001
-5.5620723E-009 ;  1.1398020E+000
-5.5522972E-009 ;  9.7024500E-001
-5.5425220E-009 ;  1.1586420E+000
-5.5327468E-009 ;  1.0456040E+000
-5.5229717E-009 ;  1.1021230E+000
-5.5131965E-009 ;  1.0456040E+000
-5.5034213E-009 ;  1.1303820E+000
-5.4936461E-009 ;  1.0456040E+000
-5.4838710E-009 ;  1.1115420E+000
-5.4740958E-009 ;  1.1586420E+000
-5.4643206E-009 ;  9.6082500E-001
-5.4545455E-009 ;  9.2314500E-001
-5.4447703E-009 ;  1.1963210E+000
