# G(2) Function
# 2025-11-20 16:08:26
# Histogram Width = 10 ns
# Events Ch. 0 = 8.97e+07 
# Events Ch. 1 = 8.287e+07 
# Integr. Time = 00:02:46 h
# G(2) Norm = 445.7 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-6.3440860E-009 ;  1.0791590E+000
-6.3343109E-009 ;  1.0589670E+000
-6.3245357E-009 ;  1.0589670E+000
-6.3147605E-009 ;  9.6473700E-001
-6.3049853E-009 ;  9.8268500E-001
-6.2952102E-009 ;  9.4454400E-001
-6.2854350E-009 ;  9.5800600E-001
-6.2756598E-009 ;  1.0342870E+000
-6.2658847E-009 ;  8.7723700E-001
-6.2561095E-009 ;  9.7819800E-001
-6.2463343E-009 ;  1.0253130E+000
-6.2365591E-009 ;  1.0656970E+000
-6.2267840E-009 ;  9.7819800E-001
-6.2170088E-009 ;  1.0387750E+000
-6.2072336E-009 ;  8.6826300E-001
-6.1974585E-009 ;  9.8492900E-001
-6.1876833E-009 ;  1.0073640E+000
-6.1779081E-009 ;  9.6473700E-001
-6.1681329E-009 ;  9.6024900E-001
-6.1583578E-009 ;  1.0006340E+000
-6.1485826E-009 ;  9.8492900E-001
-6.1388074E-009 ;  9.6249300E-001
-6.1290323E-009 ;  9.5127500E-001
-6.1192571E-009 ;  1.0028770E+000
-6.1094819E-009 ;  9.6473700E-001
-6.0997067E-009 ;  1.0051210E+000
-6.0899316E-009 ;  9.8941600E-001
-6.0801564E-009 ;  9.7595400E-001
-6.0703812E-009 ;  1.0522360E+000
-6.0606061E-009 ;  9.7595400E-001
-6.0508309E-009 ;  9.7595400E-001
-6.0410557E-009 ;  1.0006340E+000
-6.0312805E-009 ;  9.7371100E-001
-6.0215054E-009 ;  9.4903200E-001
-6.0117302E-009 ;  9.8717200E-001
-6.0019550E-009 ;  1.0656970E+000
-5.9921799E-009 ;  9.8268500E-001
-5.9824047E-009 ;  9.4903200E-001
-5.9726295E-009 ;  1.0589670E+000
-5.9628543E-009 ;  9.4903200E-001
-5.9530792E-009 ;  9.8492900E-001
-5.9433040E-009 ;  9.6922400E-001
-5.9335288E-009 ;  1.0230690E+000
-5.9237537E-009 ;  1.0365310E+000
-5.9139785E-009 ;  9.1986500E-001
-5.9042033E-009 ;  1.0926200E+000
-5.8944282E-009 ;  1.0140950E+000
-5.8846530E-009 ;  1.0858900E+000
-5.8748778E-009 ;  9.4230100E-001
-5.8651026E-009 ;  1.0612100E+000
-5.8553275E-009 ;  1.0230690E+000
-5.8455523E-009 ;  1.0814020E+000
-5.8357771E-009 ;  1.0522360E+000
-5.8260020E-009 ;  9.9614700E-001
-5.8162268E-009 ;  1.0253130E+000
-5.8064516E-009 ;  9.2659600E-001
-5.7966764E-009 ;  9.7595400E-001
-5.7869013E-009 ;  9.2210900E-001
-5.7771261E-009 ;  9.3108300E-001
-5.7673509E-009 ;  9.8717200E-001
-5.7575758E-009 ;  1.0096080E+000
-5.7478006E-009 ;  9.9390300E-001
-5.7380254E-009 ;  9.3781400E-001
-5.7282502E-009 ;  9.8492900E-001
-5.7184751E-009 ;  1.0522360E+000
-5.7086999E-009 ;  1.0634540E+000
-5.6989247E-009 ;  1.0006340E+000
-5.6891496E-009 ;  9.9165900E-001
-5.6793744E-009 ;  1.0096080E+000
-5.6695992E-009 ;  9.9614700E-001
-5.6598240E-009 ;  1.0612100E+000
-5.6500489E-009 ;  9.1089100E-001
-5.6402737E-009 ;  1.0163390E+000
-5.6304985E-009 ;  1.1038380E+000
-5.6207234E-009 ;  1.0051210E+000
-5.6109482E-009 ;  9.8268500E-001
